SCALERANK,NATSCALE,LABELRANK,FEATURECLA,NAME,NAMEPAR,NAMEALT,DIFFASCII,NAMEASCII,ADM0CAP,CAPALT,CAPIN,WORLDCITY,MEGACITY,SOV0NAME,SOV_A3,ADM0NAME,ADM0_A3,ADM1NAME,ISO_A2,NOTE,LATITUDE,LONGITUDE,CHANGED,NAMEDIFF,DIFFNOTE,POP_MAX,POP_MIN,POP_OTHER,RANK_MAX,RANK_MIN,GEONAMEID,MEGANAME,LS_NAME,LS_MATCH,CHECKME,MAX_POP10,MAX_POP20,MAX_POP50,MAX_POP300,MAX_POP310,MAX_NATSCA,MIN_AREAKM,MAX_AREAKM,MIN_AREAMI,MAX_AREAMI,MIN_PERKM,MAX_PERKM,MIN_PERMI,MAX_PERMI,MIN_BBXMIN,MAX_BBXMIN,MIN_BBXMAX,MAX_BBXMAX,MIN_BBYMIN,MAX_BBYMIN,MIN_BBYMAX,MAX_BBYMAX,MEAN_BBXC,MEAN_BBYC,COMPARE,GN_ASCII,FEATURE_CL,FEATURE_CO,ADMIN1_COD,GN_POP,ELEVATION,GTOPO30,TIMEZONE,GEONAMESNO,UN_FID,UN_ADM0,UN_LAT,UN_LONG,POP1950,POP1955,POP1960,POP1965,POP1970,POP1975,POP1980,POP1985,POP1990,POP1995,POP2000,POP2005,POP2010,POP2015,POP2020,POP2025,POP2050,CITYALT
7,20,1,Populated place,Oshkosh,,,0,Oshkosh,0.00000000000,0.00000000000,,0.00000000000,0,United States,USA,United States of America,USA,Wisconsin,US,,44.02510215160,-88.54251306330,0.00000000000,0,,"72,698","63,017","74,271",8,8,5265838.00000000000,,Oshkosh,1,0,72698,72698,0,0,0,20,62,62.00000000000,24.00000000000,24.00000000000,63.00000000000,63.00000000000,39.00000000000,39.00000000000,-88.64166667000,-88.64166667000,-88.50833333000,-88.50833333000,43.96666667000,43.96666667000,44.07500000000,44.07500000000,-88.56431518000,44.02297855000,0,Oshkosh,P,PPL,0.00000000000,63017,234.00000000000,229.00000000000,America/Chicago,Geonames ascii name + lat.d + long.d matching.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
6,30,1,Populated place,Wausau,,,0,Wausau,0.00000000000,0.00000000000,,0.00000000000,0,United States,USA,United States of America,USA,Wisconsin,US,,44.95915366520,-89.62999190440,1.00000000000,0,Changed scale rank.,"75,422","36,779","69,122",8,7,5278120.00000000000,,Wausau,1,0,75422,75422,0,0,0,20,80,80.00000000000,31.00000000000,31.00000000000,120.00000000000,120.00000000000,75.00000000000,75.00000000000,-89.73333333000,-89.73333333000,-89.53333333000,-89.53333333000,44.84166667000,44.84166667000,45.00833333000,45.00833333000,-89.62853053000,44.93101145000,0,Wausau,P,PPL,0.00000000000,36779,368.00000000000,365.00000000000,America/Chicago,Geonames ascii name + lat.d + long.d matching.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
7,20,1,Populated place,Superior,,,0,Superior,0.00000000000,0.00000000000,,0.00000000000,0,United States,USA,United States of America,USA,Wisconsin,US,,46.72124249170,-92.10389774760,0.00000000000,0,,"27,580","27,368","33,137",7,7,5275191.00000000000,,Superior,1,0,27580,27580,0,0,0,20,25,25.00000000000,10.00000000000,10.00000000000,43.00000000000,43.00000000000,26.00000000000,26.00000000000,-92.14166667000,-92.14166667000,-92.03333333000,-92.03333333000,46.65833333000,46.65833333000,46.74166667000,46.74166667000,-92.09156977000,46.70998062000,0,Superior,P,PPL,0.00000000000,27368,196.00000000000,198.00000000000,America/Chicago,Geonames ascii name + lat.d + long.d matching.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
7,20,1,Populated place,West Bend,,,0,West Bend,0.00000000000,0.00000000000,,0.00000000000,0,United States,USA,United States of America,USA,Wisconsin,US,,43.42570721340,-88.18333602060,0.00000000000,0,,"34,530","29,431","42,848",7,7,5278422.00000000000,,West Bend,1,0,34530,34530,0,0,0,20,33,33.00000000000,13.00000000000,13.00000000000,39.00000000000,39.00000000000,24.00000000000,24.00000000000,-88.25000000000,-88.25000000000,-88.14166667000,-88.14166667000,43.38333333000,43.38333333000,43.45833333000,43.45833333000,-88.18828616000,43.42256289000,0,West Bend,P,PPL,0.00000000000,29431,272.00000000000,271.00000000000,America/Chicago,Geonames ascii name + lat.d + long.d matching.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
7,20,1,Populated place,Marinette,,,0,Marinette,0.00000000000,0.00000000000,,0.00000000000,0,United States,USA,United States of America,USA,Wisconsin,US,,45.10038535470,-87.63047570980,0.00000000000,0,,"27,169","11,171","26,762",7,6,5261852.00000000000,,Marinette,1,1,27169,27169,0,0,0,20,27,27.00000000000,10.00000000000,10.00000000000,36.00000000000,36.00000000000,22.00000000000,22.00000000000,-87.66666667000,-87.66666667000,-87.59166667000,-87.59166667000,45.06666667000,45.06666667000,45.15000000000,45.15000000000,-87.62500000000,45.10359848000,0,Marinette,P,PPL,0.00000000000,11171,181.00000000000,181.00000000000,America/Chicago,Geonames ascii name + lat.d + long.d matching.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
7,20,1,Populated place,Rhinelander,,,0,Rhinelander,0.00000000000,0.00000000000,,0.00000000000,0,United States,USA,United States of America,USA,Wisconsin,US,,45.63991314600,-89.41207238950,0.00000000000,0,,"11,483","7,783","11,221",6,5,5268720.00000000000,,Rhinelander,1,0,11483,11483,0,0,0,20,13,13.00000000000,5.00000000000,5.00000000000,21.00000000000,21.00000000000,13.00000000000,13.00000000000,-89.45000000000,-89.45000000000,-89.38333333000,-89.38333333000,45.61666667000,45.61666667000,45.65833333000,45.65833333000,-89.41515152000,45.63825758000,0,Rhinelander,P,PPL,0.00000000000,7783,472.00000000000,471.00000000000,America/Chicago,Geonames ascii name + lat.d + long.d matching.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
7,20,1,Populated place,Racine,,,0,Racine,0.00000000000,0.00000000000,,0.00000000000,0,United States,USA,United States of America,USA,Wisconsin,US,,42.72771364240,-87.81183414890,0.00000000000,0,,"131,654","79,263","137,794",9,8,5268249.00000000000,,Racine,1,0,131654,131654,0,0,0,20,106,106.00000000000,41.00000000000,41.00000000000,90.00000000000,90.00000000000,56.00000000000,56.00000000000,-87.91666667000,-87.91666667000,-87.76666667000,-87.76666667000,42.66666667000,42.66666667000,42.82500000000,42.82500000000,-87.82718254000,42.73566468000,0,Racine,P,PPL,0.00000000000,79263,188.00000000000,180.00000000000,America/Chicago,Geonames ascii name + lat.d + long.d matching.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
6,30,1,Populated place,Green Bay,,,0,Green Bay,0.00000000000,0.00000000000,,0.00000000000,0,United States,USA,United States of America,USA,Wisconsin,US,,44.52998089510,-88.00001387710,1.00000000000,0,Changed scale rank.,"198,611","101,012","195,260",9,9,5254962.00000000000,,Green Bay,1,0,198611,198611,0,0,0,20,189,189.00000000000,73.00000000000,73.00000000000,141.00000000000,141.00000000000,88.00000000000,88.00000000000,-88.13333333000,-88.13333333000,-87.89166667000,-87.89166667000,44.40833333000,44.40833333000,44.60000000000,44.60000000000,-88.03033009000,44.49745671000,0,Green Bay,P,PPL,0.00000000000,101012,180.00000000000,178.00000000000,America/Chicago,Geonames ascii name + lat.d + long.d matching.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
6,30,1,Admin-1 capital,Madison,,,0,Madison,0.00000000000,0.00000000000,,0.00000000000,0,United States,USA,United States of America,USA,Wisconsin,US,,43.07301556300,-89.40111698580,1.00000000000,0,Changed scale rank.,"327,447","224,625","324,305",10,10,5261457.00000000000,,Madison,1,0,327447,327447,0,0,0,20,231,231.00000000000,89.00000000000,89.00000000000,210.00000000000,210.00000000000,130.00000000000,130.00000000000,-89.55833333000,-89.55833333000,-89.25833333000,-89.25833333000,42.99166667000,42.99166667000,43.20000000000,43.20000000000,-89.39945652000,43.07395833000,0,Madison,P,PPLA,0.00000000000,224625,267.00000000000,270.00000000000,America/Chicago,GeoNames match general.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
8,10,1,Populated place,La Crosse,,,0,La Crosse,0.00000000000,0.00000000000,,0.00000000000,0,United States,USA,United States of America,USA,Wisconsin,US,,43.80136903800,-91.23942855000,0.00000000000,0,,"87,381","51,818","81,065",8,8,5258957.00000000000,,La Crosse,1,2,87381,0,0,0,0,10,71,71.00000000000,27.00000000000,27.00000000000,101.00000000000,101.00000000000,63.00000000000,63.00000000000,-91.30000000000,-91.30000000000,-91.17500000000,-91.17500000000,43.75000000000,43.75000000000,43.97500000000,43.97500000000,-91.23399123000,43.85635965000,0,La Crosse,P,PPL,0.00000000000,51818,204.00000000000,197.00000000000,America/Chicago,Geonames ascii name + lat.d + long.d matching.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
8,10,1,Populated place,Eau Claire,,,0,Eau Claire,0.00000000000,0.00000000000,,0.00000000000,0,United States,USA,United States of America,USA,Wisconsin,US,,44.81135906890,-91.49835331400,0.00000000000,0,,"79,740","62,852","78,765",8,8,5251436.00000000000,,Eau Claire,1,0,79740,0,0,0,0,10,76,76.00000000000,29.00000000000,29.00000000000,80.00000000000,80.00000000000,49.00000000000,49.00000000000,-91.55833333000,-91.55833333000,-91.40833333000,-91.40833333000,44.75833333000,44.75833333000,44.87500000000,44.87500000000,-91.48346774000,44.81041667000,0,Eau Claire,P,PPL,0.00000000000,62852,240.00000000000,243.00000000000,America/Chicago,Geonames ascii name + lat.d + long.d matching.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
8,10,1,Populated place,Sheboygan,,,0,Sheboygan,0.00000000000,0.00000000000,,0.00000000000,0,United States,USA,United States of America,USA,Wisconsin,US,,43.75082948720,-87.71442407400,0.00000000000,0,,"53,705","48,591","52,422",8,7,5272893.00000000000,,Sheboygan,1,0,53705,0,0,0,0,10,42,42.00000000000,16.00000000000,16.00000000000,49.00000000000,49.00000000000,31.00000000000,31.00000000000,-87.78333333000,-87.78333333000,-87.70000000000,-87.70000000000,43.68333333000,43.68333333000,43.80000000000,43.80000000000,-87.73240050000,43.74546020000,0,Sheboygan,P,PPL,0.00000000000,48591,193.00000000000,183.00000000000,America/Chicago,Geonames ascii name + lat.d + long.d matching.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
8,10,1,Populated place,Waukesha,,,0,Waukesha,0.00000000000,0.00000000000,,0.00000000000,0,United States,USA,United States of America,USA,Wisconsin,US,,43.01164979970,-88.23136926450,0.00000000000,0,,"249,912","68,112","214,595",10,8,5278052.00000000000,,Waukesha,1,0,249912,0,0,0,0,10,298,298.00000000000,115.00000000000,115.00000000000,271.00000000000,271.00000000000,168.00000000000,168.00000000000,-88.30833333000,-88.30833333000,-88.05827532000,-88.05827532000,42.88333333000,42.88333333000,43.20893788000,43.20893788000,-88.16374170000,43.03965798000,0,Waukesha,P,PPL,0.00000000000,68112,248.00000000000,257.00000000000,America/Chicago,Geonames ascii name + lat.d + long.d matching.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
8,10,1,Populated place,Appleton,,,0,Appleton,0.00000000000,0.00000000000,,0.00000000000,0,United States,USA,United States of America,USA,Wisconsin,US,,44.26867901520,-88.40050622740,0.00000000000,0,,"203,665","70,112","196,705",10,8,5244080.00000000000,,Appleton,1,0,203665,0,0,0,0,10,192,192.00000000000,74.00000000000,74.00000000000,148.00000000000,148.00000000000,92.00000000000,92.00000000000,-88.55000000000,-88.55000000000,-88.25000000000,-88.25000000000,44.14166667000,44.14166667000,44.31666667000,44.31666667000,-88.40675796000,44.25008991000,0,Appleton,P,PPL,0.00000000000,70112,242.00000000000,233.00000000000,America/Chicago,Geonames ascii name + lat.d + long.d matching.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
8,10,1,Populated place,Tomah,,,0,Tomah,0.00000000000,0.00000000000,,0.00000000000,0,United States,USA,United States of America,USA,Wisconsin,US,,43.98505291650,-90.50389205090,0.00000000000,0,,"12,997","8,596","9,936",6,5,5275871.00000000000,,Tomah,1,0,12997,0,0,0,0,10,14,14.00000000000,5.00000000000,5.00000000000,28.00000000000,28.00000000000,17.00000000000,17.00000000000,-90.53333333000,-90.53333333000,-90.46666667000,-90.46666667000,43.96666667000,43.96666667000,44.01666667000,44.01666667000,-90.50126812000,43.98894928000,0,Tomah,P,PPL,0.00000000000,8596,296.00000000000,300.00000000000,America/Chicago,Geonames ascii name + lat.d + long.d matching.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
8,10,1,Populated place,Janesville,,,0,Janesville,0.00000000000,0.00000000000,,0.00000000000,0,United States,USA,United States of America,USA,Wisconsin,US,,42.68262595530,-89.02157942890,0.00000000000,0,,"69,278","61,675","115,236",8,8,5257754.00000000000,,Janesville,1,0,69278,0,0,0,0,10,61,61.00000000000,23.00000000000,23.00000000000,51.00000000000,51.00000000000,32.00000000000,32.00000000000,-89.06666667000,-89.06666667000,-88.95000000000,-88.95000000000,42.64166667000,42.64166667000,42.75000000000,42.75000000000,-89.00807292000,42.68784722000,0,Janesville,P,PPL,0.00000000000,61675,255.00000000000,236.00000000000,America/Chicago,Geonames ascii name + lat.d + long.d matching.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
3,110,1,Populated place,Milwaukee,,,0,Milwaukee,0.00000000000,0.00000000000,,0.00000000000,1,United States,USA,United States of America,USA,Wisconsin,US,,43.05265504870,-87.91996708350,0.00000000000,0,,"1,388,000","579,180","975,989",12,11,5263045.00000000000,Milwaukee,Milwaukee,1,0,995062,1212421,1240223,1240223,0,100,570,891.00000000000,220.00000000000,344.00000000000,314.00000000000,566.00000000000,195.00000000000,351.00000000000,-88.30833333000,-88.09855168000,-87.84166667000,-87.84166667000,42.83333333000,42.85833333000,43.25833333000,43.25833333000,-88.01978474750,43.04507755000,0,Milwaukee,P,PPL,0.00000000000,579180,188.00000000000,195.00000000000,America/Chicago,GeoNames match with ascii name + lat + long whole numbers.,551,United States of America,43.06000000000,-87.99000000000,836.00000000000,985.00000000000,1152.00000000000,1203.00000000000,1251.00000000000,1228.00000000000,1207.00000000000,1217.00000000000,1228.00000000000,1269.00000000000,1311.00000000000,1362.00000000000,1388.00000000000,1429.00000000000,1495.00000000000,1553.00000000000,1602.00000000000,
7,20,1,Populated place,Fond du Lac,,,0,Fond du Lac,0.00000000000,0.00000000000,,0.00000000000,0,United States,USA,United States of America,USA,Wisconsin,US,,43.77343792630,-88.44691166360,0.00000000000,0,,"54,299","41,860","53,452",8,7,5253352.00000000000,,Fond du Lac,1,0,54299,54299,0,0,0,20,45,45.00000000000,17.00000000000,17.00000000000,41.00000000000,41.00000000000,25.00000000000,25.00000000000,-88.50000000000,-88.50000000000,-88.40000000000,-88.40000000000,43.74166667000,43.74166667000,43.82500000000,43.82500000000,-88.44942130000,43.77754630000,0,Fond du Lac,P,PPL,0.00000000000,41860,232.00000000000,235.00000000000,America/Chicago,Geonames ascii name + lat.d + long.d matching.,0,,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,
